src,dest,dist
AKL,SCL,9673653
AKL,SFO,10486986
AKL,SIN,8408297
AKL,SYD,2164202
AKL,WLG,479503
ALA,AMS,5270952
ALA,AUH,2929785
ALA,BKK,3994115
ALA,DEL,1640623
ALA,DME,3088615
ALA,FRA,5105831
ALA,FRU,210761
ALA,GYD,2252359
ALA,HKG,4115576
ALA,ICN,4182541
ALA,IKA,2385924
ALA,IST,3938187
ALA,KBP,3544178
ALA,KGF,757554
ALA,KUF,2267149
ALA,KUL,5117463
ALA,LED,3618000
ALA,LHR,5639882
ALA,PEK,3279855
ALA,PRG,4713351
ALA,SAW,3902126
ALA,SGN,4600203
ALA,SHJ,2797626
ALA,SVO,3129425
ALA,TAS,680437
ALA,TBS,2627320
ALA,TSE,950943
ALA,URC,843725
ALA,VKO,3132049
ALC,AAL,2226669
ALC,ALG,377538
ALC,AMS,1612669
ALC,ARN,2713404
ALC,BCN,403756
ALC,BFS,1869911
ALC,BGO,2481493
ALC,BGY,1180324
ALC,BHX,1577726
ALC,BLL,2071795
ALC,BLQ,1207779
ALC,BOH,1392478
ALC,BRE,1791831
ALC,BRS,1465661
ALC,BRU,1457448
ALC,BSL,1225220
ALC,CGN,1524246
ALC,CPH,2165439
ALC,CRL,1409996
ALC,CWL,1473653
ALC,DME,3431481
ALC,DUB,1738776
ALC,DUS,1555464
ALC,EDI,1975338
ALC,EIN,1535327
ALC,EMA,1618095
ALC,EXT,1401941
ALC,FCO,1159577
ALC,FKB,1357320
ALC,FRA,1491763
ALC,GLA,1976719
ALC,GOT,2349218
ALC,GVA,1040076
ALC,HAM,1887025
ALC,HEL,3033422
ALC,KEF,3211298
ALC,KRK,2077129
ALC,KTW,2058434
ALC,LBA,1734211
ALC,LGW,1430032
ALC,LPA,1793975
ALC,LPL,1682152
ALC,LTN,1510652
ALC,MAD,356972
ALC,MAN,1680338
ALC,MST,1489280
ALC,MUC,1497807
ALC,NCL,1864539
ALC,NUE,1553625
ALC,ORK,1628917
ALC,ORY,1183761
ALC,OSL,2571554
ALC,PMI,318753
ALC,SCQ,838973
ALC,SNN,1728140
ALC,SOU,1409138
ALC,STN,1512991
ALC,STR,1398538
ALC,SVG,2332910
ALC,TFS,1871580
ALC,TOS,3682099
ALC,TRD,2904530
ALC,TXL,1914265
ALC,WMI,2273126
ALC,WRO,1975562
ALC,ZRH,1260763
ALG,ALC,377538
ALG,AMM,3055348
ALG,BCN,520733
ALG,BEY,2940260
ALG,BOD,962357
ALG,BRU,1582133
ALG,CAI,2710590
ALG,CDG,1369896
ALG,CGN,1605763
ALG,CMN,1051961
ALG,DKR,3183315
ALG,DOH,4740123
ALG,DXB,5076842
ALG,FCO,963802
ALG,FRA,1542202
ALG,GVA,1087326
ALG,IST,2264403
ALG,LGW,1628997
ALG,LHR,1667869
ALG,LIS,1112229
ALG,MAD,725797
ALG,MED,3721000
ALG,MLA,1015530
ALG,MRS,768527
ALG,MXP,1094640
ALG,NCE,845084
ALG,ORY,1338673
ALG,PEK,9125336
ALG,PMI,320271
ALG,SVO,3337198
ALG,TIP,1014173
ALG,TLS,786315
ALG,TUN,626109
ALG,VIE,1673691
ALG,YUL,6290837
AMA,DAL,519705
AMA,DEN,578030
AMA,DFW,502002
AMA,IAH,832660
AMA,LAS,1220439
AMA,MDW,1416079
AMM,ALG,3055348
AMM,AMS,3405171
AMM,ATH,1298310
AMM,AUH,2000191
AMM,BAH,1547487
AMM,BCN,3194444
AMM,BEY,237459
AMM,BGW,792926
AMM,BKK,6848444
AMM,BOM,3942044
AMM,BSR,1119874
AMM,CAI,472985
AMM,CDG,3385497
AMM,DEL,3953026
AMM,DME,2635939
AMM,DMM,1462951
AMM,DOH,1685277
AMM,DWC,2022713
AMM,DXB,2024027
AMM,FCO,2385639
AMM,FRA,3048384
AMM,GVA,3022303
AMM,IST,1211285
AMM,JED,1156246
AMM,JFK,9234743
AMM,KBP,2110827
AMM,KRT,1820658
AMM,KWI,1182070
AMM,LCA,413369
AMM,LHR,3687627
AMM,LOS,4389295
AMM,MAD,3659327
AMM,MCT,2370893
AMM,MED,874000
AMM,MUC,2749170
AMM,ORD,10035380
AMM,OTP,1666233
AMM,RUH,1288738
AMM,SHJ,2034421
AMM,TIP,2151531
AMM,TLV,109494
AMM,TUN,2431505
AMM,TXL,2953611
AMM,VIE,2449318
AMM,YUL,8916879
AMM,ZRH,2908800
AMS,AAL,624999
AMS,ABZ,704691
AMS,ACC,5197688
AMS,ADB,2329945
AMS,AGP,1883375
AMS,ALA,5270952
AMS,ALC,1612669
AMS,AMM,3405171
AMS,ARN,1154892
AMS,ATH,2183931
AMS,ATL,7082201
AMS,AUH,5196397
AMS,AYT,2658381
AMS,BCN,1240927
AMS,BEG,1413001
AMS,BFS,773366
AMS,BGO,889519
AMS,BHX,443561
AMS,BJV,2447133
AMS,BKK,9217245
AMS,BLL,477915
AMS,BLQ,989185
AMS,BOD,924260
AMS,BOM,6866149
AMS,BOS,5562857
AMS,BRE,284191
AMS,BRI,1539325
AMS,BRS,525617
AMS,BRU,157757
AMS,BSL,561064
AMS,BUD,1171332
AMS,CAI,3288720
AMS,CAN,9155971
AMS,CDG,398603
AMS,CGN,230081
AMS,CMN,2326427
AMS,CPH,634987
AMS,CPT,9652020
AMS,CTA,1834976
AMS,CTU,7959343
AMS,CWL,567436
AMS,DEL,6375078
AMS,DFW,7918450
AMS,DLM,2557155
AMS,DMM,4709300
AMS,DOH,4927550
AMS,DTW,6341356
AMS,DUB,752552
AMS,DUS,178728
AMS,DXB,5174013
AMS,EDI,668010
AMS,EMA,416992
AMS,EWR,5884360
AMS,EXT,593629
AMS,EZE,11437224
AMS,FAO,1970236
AMS,FCO,1297272
AMS,FRA,366430
AMS,FUK,9130395
AMS,GDN,939558
AMS,GIG,9535742
AMS,GLA,719836
AMS,GOT,765080
AMS,GRU,9751522
AMS,GVA,682155
AMS,HAJ,335436
AMS,HAM,380455
AMS,HAV,7831345
AMS,HEL,1525455
AMS,HER,2482665
AMS,HGH,8941630
AMS,HKG,9290300
AMS,IAD,6223344
AMS,IAH,8066546
AMS,ICN,8574073
AMS,IKA,4083615
AMS,IST,2214177
AMS,JFK,5863340
AMS,JNB,8986269
AMS,KBP,1824341
AMS,KEF,2043295
AMS,KIX,9263688
AMS,KRK,1076836
AMS,KUL,10240432
AMS,KWI,4360494
AMS,LAX,8977468
AMS,LBA,463818
AMS,LCA,2995287
AMS,LCY,336079
AMS,LED,1778687
AMS,LEJ,523929
AMS,LGW,365748
AMS,LHR,371575
AMS,LIM,10511439
AMS,LIN,831553
AMS,LIS,1847468
AMS,LJU,976050
AMS,LOS,5072086
AMS,LPA,3181730
AMS,LPL,525513
AMS,LTN,354971
AMS,LUX,315203
AMS,MAD,1458979
AMS,MAN,488234
AMS,MEX,9220112
AMS,MLA,1982429
AMS,MRS,986748
AMS,MSP,6704516
AMS,MSQ,1561285
AMS,MUC,665433
AMS,MXP,797047
AMS,NAP,1461798
AMS,NBO,6662376
AMS,NCE,978921
AMS,NCL,523371
AMS,NRT,9341968
AMS,NUE,542176
AMS,NWI,239924
AMS,OPO,1596601
AMS,ORD,6630375
AMS,ORK,909016
AMS,OSL,960812
AMS,OTP,1788346
AMS,PDL,2862035
AMS,PDX,8052453
AMS,PEK,7848339
AMS,PFO,2941117
AMS,PHL,6013032
AMS,PMI,1426449
AMS,PMO,1698580
AMS,PRG,707011
AMS,PSA,1046167
AMS,PTY,8818282
AMS,PUJ,7252221
AMS,PVG,8930495
AMS,RIX,1337260
AMS,SAW,2250693
AMS,SEA,7863651
AMS,SFB,7272277
AMS,SFO,8808252
AMS,SIN,10517338
AMS,SKG,1907398
AMS,SOF,1756434
AMS,SOU,449786
AMS,STN,313869
AMS,STR,511737
AMS,SVG,733309
AMS,SVO,2151304
AMS,SXF,596586
AMS,SXM,6939254
AMS,TBS,3227951
AMS,TFS,3223195
AMS,TLL,1476012
AMS,TLS,997610
AMS,TLV,3314995
AMS,TPE,9460477
AMS,TRD,1292948
AMS,TRN,818231
AMS,TUN,1770372
AMS,TXL,580053
AMS,UIO,9551081
AMS,VCE,937967
AMS,VIE,961830
AMS,VRA,7762622
AMS,VRN,889775
AMS,WAW,1104716
AMS,XMN,9334543
AMS,YUL,5519408
AMS,YVR,7730993
AMS,YYC,7190228
AMS,YYZ,6006888
AMS,ZAG,1100777
AMS,ZRH,603346
ANC,DEN,3870988
ANC,FAI,419981
ANC,HNL,4469310
ANC,LAS,3708301
ANC,LAX,3774336
ANC,MSP,4053081
ANC,ORD,4580121
ANC,PDX,2481900
ANC,PHX,4106110
ANC,SEA,2331055
ANC,SLC,3419550
ARN,AAL,551025
ARN,ADB,2464256
ARN,ADD,5889628
ARN,AGP,3018272
ARN,ALC,2713404
ARN,AMS,1154892
ARN,ATH,2452706
ARN,BCN,2317184
ARN,BEG,1658316
ARN,BGO,711742
ARN,BGW,3512519
ARN,BHX,1455568
ARN,BKK,8301651
ARN,BLL,679567
ARN,BLQ,1740170
ARN,BRU,1290512
ARN,BUD,1362286
ARN,CDG,1542193
ARN,CGN,1191026
ARN,CMN,3470005
ARN,CPH,547966
ARN,CTA,2475391
ARN,DOH,4618722
ARN,DUB,1629759
ARN,DUS,1164736
ARN,DXB,4786527
ARN,EDI,1324661
ARN,EWR,6324443
ARN,FAO,3122952
ARN,FCO,2023511
ARN,FLL,7976328
ARN,FRA,1226544
ARN,GOT,395043
ARN,GVA,1684928
ARN,HAM,827254
ARN,HEL,399997
ARN,IKA,3604770
ARN,IST,2210778
ARN,JFK,6309164
ARN,KEF,2150338
ARN,KRK,1072406
ARN,LAX,8884650
ARN,LCA,2982448
ARN,LCY,1438453
ARN,LED,693668
ARN,LGW,1479029
ARN,LHR,1466289
ARN,LIN,1682739
ARN,LIS,3002192
ARN,LLA,690893
ARN,LPA,4336613
ARN,LUX,1343608
ARN,MAD,2602518
ARN,MAN,1419454
ARN,MLA,2657264
ARN,MMX,532523
