LHR,MIA,7121207
LAX,IAH,2219215
AUH,BOM,1972968
MIA,MAD,7119572
LAX,SJD,1465810
LAX,PHX,595615
AUH,BKK,4971805
PSA,SVO,2351946
CMN,FRA,2275640
AMS,NWI,239924
SEA,PDX,207979
LHR,SAN,8827442
CUN,MAD,7973482
LAX,SJD,1465810
ACC,LOS,400782
ATL,MCI,1114397
RUH,DEL,3042252
TIA,BLQ,769722
JFK,CDG,5849320
NNG,KUL,2305710
ATL,JAX,433988
IST,CMN,3315573
LHR,IAD,5917134
EWR,ATL,1199940
LAX,DEN,1387024
TXL,CPH,342894
YVR,LHR,7601794
MEX,MAD,9080137
HEL,OSL,766285
ATL,RIC,773861
BNA,ATL,344193
ATL,BDL,1383024
SFO,SEA,1091968
JFK,LHR,5554540
CDG,ATL,7072131
DFW,SNA,1938964
ATL,AUS,1308137
PVR,LAX,1959521
SJC,HNL,3889125
MAD,LAX,9406180
RDU,ATL,573022
EWR,SEA,3864868
BOG,SDQ,1594866
DCA,LAX,3719085
SJD,LAX,1465810
SFO,MIA,4160182
HEL,AYT,2637056
TIA,GOA,948116
ARN,CMN,3470005
HEL,MUC,1577199
UPG,KUL,2164095
ATL,LAX,3132519
JED,CMN,4754297
MIA,BCN,7559009
IAH,MEX,1227615
DFW,FRA,8276148
EZE,MAD,10062209
HEL,BUD,1480566
MVD,EZE,229149
TXL,OTP,1293945
SEA,AUS,2849044
CUN,IND,2071766
LAX,SAN,175594
CGN,TXL,464455
VIE,DEL,5555767
ATL,BNA,344193
CMN,TUN,1666949
ATL,SEA,3511235
CMN,ORY,1895828
ATL,CHA,170775
AGP,HEL,3356504
BDL,ATL,1383024
IAD,BOG,3807169
ATL,CVG,600942
SDQ,BOG,1594866
SHJ,MAA,2922895
CTA,AMS,1834976
ZRH,LIS,1726183
SAN,LAX,175594
SVO,CMN,4250029
AMS,ARN,1154892
SAN,HNL,4206204
FRA,HEL,1543033
BOG,IAH,3576907
AUH,COK,2793650
LIN,NAP,649948
CMN,AUH,6063424
ACC,FCO,4195009
SAN,PDX,1500820
MEX,IAD,3000002
HEL,GVA,1994154
SGN,KUL,1046467
TXL,ARN,840095
CMH,ATL,719090
LAX,DCA,3719085
BOG,EZE,4670875
YUL,LHR,5229549
ATL,JAN,547957
CMN,FCO,1980122
MAD,DFW,7990266
IND,ATL,695041
LAX,PVR,1959521
ORD,MAD,6761508
MCO,ATL,649507
MIA,LAX,3768873
SIN,CCU,2895489
TXL,PSA,1009962
ATL,BOS,1522612
MTY,MEX,710333
MAD,MIA,7119572
DFW,MEX,1505031
MSP,SEA,2251129
CUN,MCO,993563
LAX,SMF,599772
VIE,CTA,1188689
LHR,HEL,1853156
BHM,ATL,215985
MRS,CMN,1578262
LIS,GVA,1497956
GDL,SJC,2593524
AMM,FCO,2385639
SEA,OAK,1080625
HEL,WAW,940411
CDG,MEX,9213010
DTW,PDX,3143358
ATL,EWR,1199940
SLC,CVG,2333404
LAS,LHR,8416050
GDL,ATL,2363385
GDL,SJC,2593524
ATL,DTW,956518
SMF,BOI,703635
MUC,HEL,1577199
MEX,ATL,2141025
SAN,MSP,2465773
HEL,RIX,382367
ATL,BNA,344193
LIM,BOG,1878339
KUL,KWL,2642097
FAI,ANC,419981
AUH,SIN,5886513
BLQ,CTA,846642
SJD,LAX,1465810
HEL,ICN,7050176
MXP,RUH,4088098
ABZ,CDG,964637
CDG,BKK,9459074
BOS,ORD,1394737
LHR,HAJ,705452
HRB,TSN,1027850
CTU,AUH,4880250
BOS,PBI,1926569
LHR,ALA,5639882
FCO,EVN,2695989
DXB,MXP,4713115
LUX,LHR,515308
RIX,LED,487787
NAP,TRN,722467
CPT,AMS,9652020
CLT,BOS,1171324
LHR,IAH,7779487
TPE,LAX,10941808
HOU,ATL,1119610
JFK,SAV,1154757
MAD,DFW,7990266
TPE,BNE,6737659
JFK,MSY,1902461
MAD,JFK,5775437
HAM,RIX,959105
OTP,FCO,1165600
SJU,BOS,2694425
CAN,ADD,8047248
TXL,PSA,1009962
DUB,ORD,5911772
SOU,DUB,434015
CDG,PEK,8210548
VRN,TIA,840369
GLA,LCY,569042
DMM,RUH,353324
DUS,AMS,178728
BOS,SJC,4327158
LHR,BLR,8052601
TSN,KWL,1687523
FCO,IST,1386229
FLL,BDL,1888435
LHR,KWI,4681368
NRT,TPE,2182119
GIG,FCO,9152811
FLL,RIC,1295584
MAD,LCY,1255297
TPE,PNH,2285719
HKG,CDG,9606790
PHX,BOS,3701462
SFO,LHR,8638229
RIX,MUC,1257146
PUJ,FLL,1470420
YYC,LHR,7036951
AUS,ATL,1308137
AMS,MSQ,1561285
BWN,HKG,1924387
CDG,BLL,872338
LCA,MSQ,2156973
JFK,CDG,5849320
BWN,JED,8344152
CDG,TRN,573700
WAW,MSQ,510744
LHR,DFW,7644847
TPE,KUL,3238621
LCA,ATH,931818
PDX,JFK,3949168
CGN,BHX,639610
BRU,FCO,1173167
MSQ,MXP,1657979
LGW,ALG,1628997
XMN,CSX,634731
EWR,MCO,1508613
MXP,BRS,1058467
FCO,GRU,9415073
CUN,FLL,884245
LHR,EDI,534194
HAN,TPE,1635319
LIN,PMO,867087
LGA,RSW,1738673
TLL,RIX,281897
ORY,LIN,639038
MHD,TBZ,1207780
STR,CDG,490806
BCN,LGW,1108749
CDG,FCO,1102139
GYD,MSQ,2221232
DOH,DXB,378387
CDG,PMO,1471444
NBO,MBA,421978
RUH,TRV,3687798
LAX,GDL,2103947
ORD,MSY,1346544
ATL,IND,695041
PTY,CUN,1548934
SEA,MCI,2396839
AMS,LIS,1847468
TRV,COK,193269
LGW,PMO,1779417
TFN,CMN,995854
AMS,BLL,477915
MEX,SAT,1120119
HEL,CPH,894705
ATL,MSY,683812
HEL,CDG,1900015
BOG,PUJ,1657829
SIN,DEL,4151684
PSA,TIA,806008
AMS,CPH,634987
SEA,BOS,4016415
IAD,LHR,5917134
RNO,SEA,906723
HEL,LJU,1713055
ATL,CMH,719090
DEN,SEA,1648014
YUL,JFK,536681
CUN,SLC,3226317
BOG,MIA,2424309
ALG,FCO,963802
MEX,LAX,2498962
PDX,SFO,885355
ATL,PBI,876311
SAT,MTY,446367
CMN,MRS,1578262
ATL,LHR,6776332
SJU,JFK,2571046
MEX,DFW,1505031
ORF,ATL,830857
ARN,TXL,840095
TRV,SHJ,2936442
CMN,TLS,1379285
ATL,GDL,2363385
PVR,MEX,661123
MXP,HEL,1953103
GDL,MTY,668171
PDX,BOI,553844
HAM,HEL,1171718
MCI,SEA,2396839
CPH,DUS,620132
KUL,CGK,1124518
EZE,CUN,6870161
LIS,BRU,1718675
DEN,LHR,7516661
EZE,FCO,11135811
MUC,LHR,944130
CAN,TPE,827012
GYD,MXP,3376541
LHR,ZRH,789762
TPE,ICN,1460300
JED,FCO,3361763
LAX,BOS,4202210
AMS,EMA,416992
KHH,PUS,1627023
TLV,FCO,2281352
DUB,JFK,5116571
XIY,URC,2108283
FCO,SVO,2402248
JFK,ROC,424497
OSL,LHR,1208051
SVG,RIX,1104952
MLA,FCO,687849
VCE,LHR,1153759
RIX,MXP,1638576
MXP,LED,2126361
PIT,BOS,798420
KIN,FLL,965539
TRN,BRI,866684
DUS,BLL,519926
MAN,CDG,588804
CDG,MEX,9213010
BOS,DCA,642183
LGW,AMS,365748
BOS,HOU,2589416
LGW,TFS,2910653
BHX,GOT,1064485
GOA,CDG,701349
JFK,MSY,1902461
MAD,ORD,6761508
TPE,CTU,1806320
LHR,LIN,982222
MCO,JFK,1519224
RIX,CPH,715066
MCO,CUN,993563
TLV,RIX,2893074
MXP,JED,3832985
ABZ,LCY,650703
EMA,BHD,359807
PUS,CEB,2800216
PEK,AUH,5964755
TPE,SHE,1848675
BHD,LBA,287025
CDG,IAH,8088676
BUF,BOS,636603
LHR,LIS,1564050
SYX,NGB,1766917
FCO,AGP,1550893
BUF,JFK,484455
LHR,CPT,9646374
FCO,LUX,987628
MIA,BCN,7559009
RIX,ZRH,1483410
ORF,ATL,830857
BWN,PVG,2988109
DEL,AUH,2280960
DXB,SFO,13040677
LHR,MEX,8916987
VIE,BKK,8459372
JFK,MEX,3363723
LGA,MCO,1528738
MIA,MEX,2052636
TPE,NRT,2182119
LED,MXP,2126361
JFK,SDQ,2493264
MIA,MSY,1085552
RIX,BCN,2340417
PMO,VRN,822430
HAN,KHH,1509669
CAN,NKG,1075573
VIE,LIN,630499
FRA,ATL,7425554
CAG,LIN,688229
GVA,MSQ,1774829
HYD,LHR,7762454
KUL,BWN,1488022
FCO,BOS,6586429
DCA,MCO,1221659
BRE,TLS,1181585
FCO,OPO,1743823
FLL,SJU,1683965
LHR,OPO,1298622
TPE,DPS,3799478
IAD,ATL,859234
AMS,RIX,1337260
JFK,FCO,6883860
RSW,EWR,1719018
VCE,LGW,1119553
TAS,RIX,3649331
LIS,BLQ,1811281
SDQ,MCO,1623329
SJU,SXM,309113
BCN,PMI,201751
LGW,LAS,8453844
CDG,JFK,5849320
LAS,LGW,8453844
CPH,FCO,1536381
BOS,CHS,1317312
LHR,HYD,7762454
TSN,TPE,1599813
LIN,FRA,512329
RIC,MCO,1073107
CDG,CPH,1005580
ABQ,JFK,2937871
LGW,NCE,1001813
DPS,TPE,3799478
FCO,GOA,401409
FLL,PUJ,1470420
LHR,IST,2518540
FCO,MRS,604377
EWR,PBI,1647116
LHR,JED,4749327
MFM,KHH,697601
MCO,BUF,1626659
KIN,JFK,2533197
PMO,SVO,2678863
ABV,LHR,4761249
HKG,KUL,2534641
MAD,BRU,1313967
ATL,ORF,830857
RIC,ATL,773861
BOS,MAD,5487128
BWN,KUL,1488022
PRG,PSA,771570
ZRH,CMN,2071555
AMS,LIM,10511439
MIA,ATL,956918
SEA,FLL,4372159
DFW,SFO,2356680
BOG,GIG,4533592
ATL,ABQ,2042739
SEA,MSP,2251129
SUB,KUL,1663643
ATL,RSW,828121
CGK,KUL,1124518
VCE,ATH,1277203
AMS,PMO,1698580
LHR,BOS,5254215
SAN,PVR,1784448
HEL,SVO,876418
ATL,MIA,956918
HNL,SEA,4308486
BCN,BOG,8516834
AMS,GLA,719836
NCE,MSQ,1894361
BKK,BWN,1831844
GYD,FCO,3151214
BRU,VNO,1458002
MEX,CDG,9213010
RDU,BOS,984790
TLV,LHR,3593140
NAP,PMO,318061
MXP,BHX,1076120
CDG,LIS,1470904
MSQ,LGW,1926615
LGW,NAP,1594028
FCO,RIX,1878624
MIA,FCO,8345802
ROC,JFK,424497
BHX,EDI,403297
BKK,SZX,1699382
RIX,FCO,1878624
AUH,MCT,381162
EMA,EDI,371665
PUS,CSX,1676908
SOF,FCO,925659
ACC,LHR,5084705
CDG,DUS,393537
MSQ,SXF,983562
CJU,TSN,1029922
FCO,FRA,957742
JAX,JFK,1333245
LHR,MIA,7121207
FUK,TPE,1299103
FCO,TRN,529778
LHR,TLS,882517
MAD,PMI,548216
SJU,JAX,2072210
RIX,SAW,1823166
NRT,FCO,9927887
KHH,HGH,847891
DUS,MAN,657341
KIN,SXM,1448444
RIX,VCE,1503024
AGP,LCY,1686896
GLA,BHD,166921
ADD,PEK,8335792
SLC,ATL,2558541
FRA,DFW,8276148
CGK,BWN,1530874
AUH,NBO,3432585
VCE,NCE,456495
EDI,LHR,534194
FCO,CMB,7631421
KIN,FLL,965539
ORD,MSY,1346544
KHH,NGB,810833
IND,ATL,695041
KIN,JFK,2533197
MEX,DFW,1505031
BUD,RIX,1103104
LBA,AMS,463818
PDX,BOS,4083354
TXL,CTA,1683019
HEL,LHR,1853156
FRA,LIN,512329
LAX,FLL,3769572
SAN,LHR,8827442
HAV,CUN,509446
MXP,JFK,6429708
FOC,KHH,378423
TBS,RIX,2263367
RSW,JFK,1728768
CTS,HND,818661
PUS,FUK,224965
VCE,CDG,837227
GCM,NAS,752172
BOS,RDU,984790
TSN,CJU,1029922
DUB,CDG,786640
BOS,SFO,4351856
LHR,BLQ,1165153
SVG,GOT,412377
IAH,CDG,8088676
JFK,SLC,3201740
MLE,LGW,8513598
TPE,SEA,9775440
ORD,JFK,1190834
RIX,SVG,1104952
MXP,LUX,482801
NAS,MCO,535902
BHD,BHX,364309
BGY,TIA,936648
NBO,AUH,3432585
AUH,LHR,5522926
CAN,KWE,742788
PSA,PRG,771570
CDG,SGN,10115262
DXB,DFW,12939580
LHR,PMI,1347744
URC,XIY,2108283
FCO,CMN,1980122
DXB,IAD,11375793
LHR,HAM,747665
CDG,TPE,9804396
FCO,SOF,925659
NAS,GCM,752172
FCO,TIA,623952
PMO,LIN,867087
ATL,LHR,6776332
TUN,CDG,1487466
FCO,ATL,8104422
LHR,SAN,8827442
FRA,AUH,4867893
LED,FCO,2353371
MCO,BOS,1804114
NCE,LGW,1001813
ABZ,RIX,1578192
LIN,OTP,1327539
LGA,PBI,1665078
NCE,LHR,1041912
RIX,NCE,1887501
SZX,TPE,802648
CGO,CKG,862644
BUD,MSQ,946808
HEL,VNO,633209
BWN,SUB,1383376
CDG,EVN,3418084
MSQ,EVN,1959876
JNB,LHR,9045059
FCO,IKA,3431191
FLL,AUS,1778371
LHR,KBP,2192164
FCO,TUN,576913
LHR,TXL,950244
TPE,SFO,10410308
JFK,VCE,6685855
VNO,HEL,633209
KBP,RIX,862655
LCY,LIN,957255
DLC,TPE,1540303
MCI,ATL,1114397
SJU,PBI,1711011
BCN,TFN,2195199
TBS,MSQ,1848807
LHR,AGP,1674845
NBE,FRA,1557364
CDG,STR,490806
TLV,MSQ,2490504
LCY,VCE,1124880
NBE,LED,2998578
DAY,ATL,695577
BOS,PIT,798420
LHR,MAD,1243293
DUS,RIX,1283147
MIA,CDG,7384749
MXP,MAN,1169272
CDG,MAN,588804
BOS,CUN,2792227
LHR,AUH,5522926
KUL,TPE,3238621
JFK,ABQ,2937871
LHR,MUC,944130
GUM,TPE,2782737
FCO,TIA,623952
LHR,MXP,937862
TPE,CAN,827012
MXP,LIS,1654762
NAS,JFK,1763826
NGO,CTS,975528
PUS,HKG,2041582
SVO,VCE,2099545
ATL,ORD,974957
BOM,CTU,3375133
TRN,FCO,529778
CTA,LGW,1939455
CHS,ATL,416873
MSQ,VIE,1027311
LGW,CUN,7988462
CSX,CJU,1398479
DUS,CDG,393537
BOS,SJU,2694425
LHR,BOM,7221029
TLS,BRE,1181585
FCO,MXP,511055
CUN,MCO,993563
LHR,NBO,6827590
MFM,TPE,844325
FCO,TBS,2704078
MCO,BOG,2733180
NCE,LCY,1024210
GOT,RIX,708798
DXB,CDG,5245154
FLL,CUN,884245
LHR,LAX,8780646
BRS,MUC,1093712
MTY,ATL,1746427
THR,TBZ,527526
SFO,ATL,3442220
CDG,EXT,469347
SVO,PMO,2678863
HEL,JFK,6625521
XIY,TSN,925528
FCO,EZE,11135811
FLL,NAS,293239
LHR,RUH,4945155
TIA,PSA,806008
SVO,TAS,2823095
ATL,MIA,956918
BUF,ATL,1145965
MSQ,BEY,2305207
DWC,LHR,5519828
CDG,DUB,786640
DME,MSQ,659154
FRA,LHR,655068
CJU,CSX,1398479
FCO,GVA,696136
CUN,JFK,2502059
LHR,STR,758244
TPE,CDG,9804396
JFK,CDG,5849320
MXP,DXB,4713115
OTP,LHR,2110319
FRA,RIX,1275270
SAV,BOS,1449987
SJU,SDQ,387397
BRI,CTA,433055
PRG,PSA,771570
BCN,LHR,1147444
DUS,EXT,716558
PUS,NRT,1040462
TRN,NAP,722467
BOS,MAD,5487128
CAE,ATL,308235
VRN,FCO,413864
HND,LHR,9615086
JED,BWN,8344152
CDG,DKR,4218444
BOS,DEN,2822867
ABZ,BRS,648619
CDG,HAJ,632644
BDL,PBI,1822810
LGW,FCO,1407460
KWI,AUH,850153
AGP,SOU,1605755
MXP,RIX,1638576
MUC,FCO,728761
SFO,AUS,2419939
HND,OKA,1554023
NAS,KIN,789642
ORD,FCO,7762052
ATL,DFW,1177007
SOU,AMS,449786
CDG,TXL,852673
BOS,CLT,1171324
LHR,ATL,6776332
RIX,ABZ,1578192
MXP,FCO,511055
SJC,BOS,4327158
CWL,BHD,396601
SNA,ATL,3087901
BLQ,LHR,1165153
CAI,CAN,8005322
SYD,AUH,12056907
AUS,LHR,7909646
MAN,BHD,274720
CDG,NAP,1291075
LHR,BGO,1043723
FCO,MIA,8345802
JFK,KIN,2533197
LHR,SEA,7725205
KWL,TPE,1128460
IAH,ATL,1109115
JFK,MCO,1519224
MAD,MIA,7119572
ATH,RIX,2110968
KHH,HAN,1509669
VIE,RIX,1100444
TPE,FOC,184209
EXT,CDG,469347
PUS,REP,3489317
SRQ,ATL,714866
BAH,LHR,5099825
TRD,AMS,1292948
HEL,WAW,940411
AVL,ATL,264249
YYZ,CDG,6036891
FCO,LED,2353371
MCO,SDQ,1623329
TLS,LHR,882517
SEA,TPE,9775440
KWI,FCO,3495842
LIM,FLL,4227220
MXP,JFK,6429708
NCE,RIX,1887501
LIN,FCO,470266
RIC,FLL,1295584
VIE,CTA,1188689
JFK,LHR,5554540
CTU,TPE,1806320
HAN,FRA,8727770
MCO,AUS,1599961
PUJ,SJU,249787
TIA,VCE,749257
SHE,TPE,1848675
CTS,FUK,1415385
HAV,MXP,8303762
SJU,BDL,2681294
BHX,HAJ,776362
CAI,PEK,7548752
VRN,CTA,946960
JNB,CPT,1270571
CTA,AMS,1834976
CLT,JFK,870860
LHR,AUS,7909646
XMN,TSN,1618445
FCO,BOD,1102756
DCA,FLL,1446875
LHR,FCO,1445754
HKG,TPE,806733
JNB,AUH,6275392
OPO,LHR,1298622
AUH,AMS,5196397
MAD,TFN,1771467
SDQ,BOS,2656573
NRT,OKA,1611753
VKO,RIX,835551
NCE,FCO,460794
SAN,BOS,4164547
OSL,CDG,1359149
BLL,ZRH,921675
NCL,CDG,730515
CDG,PVG,9287130
SAT,ATL,1406844
AMS,LCY,336079
EDI,CDG,869771
CMH,ATL,719090
FLL,KIN,965539
LHR,ZAG,1371129
FCO,LHR,1445754
FLL,LAX,3769572
LHR,LOS,4989364
KHH,NRT,2427682
FRA,FCO,957742
JFK,IAD,366849
TIA,MXP,1003354
SJU,ATL,2489185
BLL,MAN,784619
CTU,TSN,1546380
JAX,BOS,1625760
LIN,ORY,639038
NAS,BOS,2011287
PFO,LGW,3190504
GYD,RIX,2621707
PHL,LHR,5704860
SOF,MXP,1216875
BAH,DOH,147554
BRU,LIN,703303
MSQ,AUH,3948576
JFK,MAN,5376395
CDG,NUE,622014
MSQ,TSE,2923263
NKG,CSX,671867
FCO,NRT,9927887
LHR,NRT,9615218
GOA,FCO,401409
JFK,MXP,6429708
ORD,ATL,974957
AUH,BRU,5171851
LGW,CTA,1939455
JFK,SFO,4161868
RIX,BLL,924219
LIN,NAP,649948
SGN,KHH,1953814
KOJ,HND,936950
TRN,FCO,529778
SYR,JFK,335642
OKA,HND,1554023
BRE,AMS,284191
BOG,MCO,2733180
LHR,CPH,982320
CMN,FCO,1980122
LGW,LCA,3252507
CHS,BOS,1317312
PRG,RIX,993890
MXP,CTA,1048839
CDG,VCE,837227
BOS,PUJ,2650128
LHR,DUB,450444
TNA,TPE,1360818
FCO,TGD,582402
JFK,LAX,3982940
LHR,SIN,10887923
LHR,BKK,9588788
HSV,ATL,243258
LHR,SOF,2045384
RSW,LGA,1738673
BHD,ABZ,368092
ADD,CAN,8047248
TPE,DEL,4379719
BLL,OSL,509202
NCL,BHD,272676
CAN,KMG,1069711
VCE,FCO,411260
DUS,ORD,6807343
CTA,MXP,1048839
BOS,IAD,664395
LGW,TIA,1867786
NKG,KMG,1723273
FCO,BRI,383851
DCA,SJU,2501725
LHR,FRA,655068
HRB,TPE,2323511
FCO,TLS,913811
EWR,SJU,2587587
LHR,SVG,910621
TPE,CGK,3795987
FRU,SVO,2993762
MXP,JFK,6429708
PEK,LHR,8175311
RIX,ARN,467005
CDG,ABZ,964637
GPT,ATL,566044
MCO,NAS,535902
PRG,LHR,1047488
TPE,SUB,3705626
JFK,BCN,6165913
STR,BHX,881457
BRE,CDG,626366
ARN,MSQ,889857
GVA,LHR,755099
CDG,LIN,645207
MSQ,LED,672816
LHR,ATH,2430324
SUB,TPE,3705626
JED,MXP,3832985
MSY,BOS,2200843
BHX,DUS,600206
LCA,LHR,3282898
TSN,CAN,1785844
DEN,ATL,1930018
CUN,BOS,2792227
LHR,BCN,1147444
FCO,BEG,734042
BOS,SAN,4164547
LHR,BEY,3486851
LED,VCE,1986189
JFK,SEA,3896768
VIE,LHR,1278680
NBO,AMS,6662376
TIA,VRN,840369
ROC,ATL,1205781
AGP,LHR,1674845
EXT,AMS,593629
CAI,FCO,2151621
WAW,FCO,1326911
IAD,LHR,5917134
MSQ,VNO,197461
LCY,GLA,569042
NKG,SHE,1172961
DTW,ATL,956518
LHR,BHD,504085
ABZ,NWI,550852
FCO,BCN,850057
JFK,LAS,3617691
LHR,SFO,8638229
TPE,BKK,2489297
HOU,BOS,2589416
LHR,OSL,1208051
BKK,LHR,9588788
PMI,MAD,548216
GLA,MAN,313043
SVO,CTA,2649457
BKK,LHR,9588788
EDI,MAN,297558
BEG,FCO,734042
TLS,VCE,896636
JFK,LCY,5587482
IAH,DXB,13144492
MIA,CDG,7384749
TPA,ATL,653266
BLL,MUC,841354
BWN,SIN,1278476
CDG,DTW,6376667
MSQ,RIX,425015
JFK,ORY,5848136
DME,NBE,2993296
CDG,MRS,652797
MSQ,BUD,946808
HKG,LHR,9647548
KWL,TSN,1687523
FCO,MUC,728761
EWR,RSW,1719018
MAD,LAX,9406180
TPE,PEK,1719333
LCY,FCO,1422483
PHL,BOS,450649
SEA,LHR,7725205
RIX,AMS,1337260
MXP,MRS,370041
SJU,FLL,1683965
KIN,NAS,789642
RSW,ATL,828121
BOS,LHR,5254215
EXT,BHD,462995
ARN,GOT,395043
VCE,LED,1986189
CUN,LGW,7988462
CDG,DXB,5245154
FCO,MSQ,1780307
JNB,DUR,477858
LED,NBE,2998578
CDG,MIA,7384749
BOS,RIC,762713
LHR,BAH,5099825
MUC,BRS,1093712
CDG,PUJ,7086557
BOS,LAX,4202210
LGW,VCE,1119553
LIN,BRU,703303
TPA,EWR,1605098
BHX,ALC,1577726
RIX,HEL,382367
NAP,CDG,1291075
SJU,SXM,309113
CEB,PUS,2800216
PMO,LGW,1779417
BLL,LCY,763457
CPH,VCE,1125123
LHR,DME,2553233
RIX,LGW,1697265
SRQ,JFK,1675705
SXM,CDG,6745243
CPH,LHR,982320
MAN,ABZ,428442
BLR,LHR,8052601
SOU,FAO,1635058
CTA,FCO,538773
AUS,JFK,2448499
LHR,EWR,5576626
ABZ,MAN,428442
JFK,RSW,1728768
MAA,LHR,8241393
JFK,YYZ,589430
JFK,SJU,2571046
MLE,CMB,777635
RIX,BUD,1103104
MXP,NRT,9771723
TPE,DLC,1540303
NRT,CTS,786399
BRI,PMO,455315
PRG,VCE,530524
SYZ,THR,692443
ARN,GVA,1684928
TBS,FCO,2704078
MAN,DUS,657341
CAN,NNG,532724
TYS,ATL,244462
JFK,MXP,6429708
BAH,AUH,452720
IST,MSQ,1436025
ICN,LHR,8883997
PBI,EWR,1647116
ZRH,LHR,789762
TPE,HRB,2323511
LIN,CAG,688229
ORY,EWR,5871301
RIX,KBP,862655
MIA,ATL,956918
SFO,JFK,4161868
FAO,SOU,1635058
BRS,AMS,525617
BEY,MSQ,2305207
LCA,LGW,3252507
TNA,KHH,1611447
JFK,ATL,1222840
MSY,JFK,1902461
SXM,SJU,309113
VCE,TIA,749257
PMO,VCE,816369
FOC,TPE,184209
EVN,MSQ,1959876
LCY,BLL,763457
HKG,BWN,1924387
DEL,FCO,5943547
EWR,BOS,322739
LHR,DUS,503481
MAN,ABZ,428442
FCO,ICN,8986061
EWR,TPA,1605098
NGB,KHH,810833
LHR,FCO,1445754
ORD,BOS,1394737
STR,LHR,758244
LCA,RIX,2556750
MRS,CDG,652797
SJU,JFK,2571046
BHD,EXT,462995
CTA,BRI,433055
SJU,DCA,2501725
DUB,EXT,357322
PMO,TRN,901685
CNX,BKK,594223
SOU,EDI,572262
TIA,GOA,948116
BRU,LHR,351512
EXT,EDI,580464
CTA,VRN,946960
JFK,DEN,2616352
MCT,AUH,381162
EMA,BRU,454124
FCO,RIX,1878624
JFK,DXB,11021831
LHR,PRG,1047488
SFO,TPE,10410308
HAM,CDG,729198
JFK,PWM,440115
RUH,LHR,4945155
JFK,KIN,2533197
SVO,PSA,2351946
CMB,MLE,777635
KMG,CSX,1079719
FCO,MAD,1333851
JFK,JNB,12824982
RIX,MLA,2447422
MAD,FCO,1333851
PHX,JFK,3465402
SIN,LHR,10887923
RIX,ATH,2110968
MLE,AUH,3018360
NAS,FLL,293239
SIN,SYD,6287957
VRN,TIA,840369
TAS,SVO,2823095
CPT,JNB,1270571
CDG,CTA,1632227
MSQ,NCE,1894361
LCY,ABZ,650703
DLC,TSN,363389
CHA,ATL,170775
AUS,SFO,2419939
LGW,CTA,1939455
TSN,HRB,1027850
JFK,BOS,300495
LHR,TLV,3593140
NRT,KHH,2427682
JNB,CDG,8706951
JFK,SMF,4057336
PMI,LCY,1344739
LED,RIX,487787
LIN,PRG,638013
LGA,SRQ,1684658
CTS,NGO,975528
RIX,OSL,831195
MKE,ATL,1076838
MHD,THR,753409
TSN,NGB,1098184
BOS,EWR,322739
LHR,EZE,11110299
OSL,ABZ,838056
FCO,GIG,9152811
JFK,SAN,3936282
MAD,BOS,5487128
TPE,MNL,1170255
FCO,KBP,1719135
LHR,WAW,1474293
JFK,TPE,12565751
PTY,AMS,8818282
CDG,DFW,7962434
TPE,PUS,1342470
TIP,FCO,1017670
CDG,JFK,5849320
EXT,MAN,301728
BEG,MXP,913211
TXL,CDG,852673
LBA,LHR,278599
HAM,BRS,896954
JFK,JAX,1333245
NAS,LHR,6987933
KIX,PUS,582935
TXL,PMO,1598662
DUB,LHR,450444
AUS,BOS,2733035
LCY,AMS,336079
CAN,TSN,1785844
CDG,YYZ,6036891
MSQ,SVX,2084441
LCY,ARN,1438453
TSN,DLC,363389
FCO,TIP,1017670
FLL,RDU,1094839
MIA,MXP,7934912
AMS,AUH,5196397
LIN,LHR,982222
RSW,BOS,2010711
VCE,LCY,1124880
RIX,MSQ,425015
NCE,VCE,456495
KHH,FOC,378423
BHD,EDI,217279
PUS,MFM,2077083
STR,CTA,1333559
CTU,LHR,8320253
WAW,LIN,1135944
GLA,LHR,555522
MEL,BWN,5643608
CDG,NCL,730515
MSQ,CDG,1840905
LCY,DUS,467548
CKG,CSX,663164
CDG,VRN,748243
EWR,FLL,1713320
LHR,DXB,5504716
CLT,ATL,364981
BOS,SXM,2798527
LHR,BSL,721154
TSN,XIY,925528
LIT,ATL,728652
NKG,TPE,774187
CDG,EDI,869771
RIX,VCE,1503024
ALC,BHX,1577726
TYN,PUS,1487387
RDU,ATL,573022
CGN,TXL,464455
DCA,ATL,880443
CHS,JFK,1024274
LHR,IAD,5917134
SAW,RIX,1823166
PMO,NAP,318061
CKG,TPE,1530550
NCE,SOU,1036581
AUH,MEL,11643913
VCE,AMS,937967
DUR,JNB,477858
NCL,SOU,455402
CGK,XMN,3613861
VCE,ATH,1277203
CPT,DUR,1278763
DXB,BWN,6725896
DKR,CDG,4218444
BOS,DXB,10722189
LHR,JFK,5554540
NWI,ABZ,550852
FRA,SGN,9667114
LAX,JFK,3982940
MIA,LHR,7121207
TPE,MFM,844325
MCO,EWR,1508613
SOF,LHR,2045384
RIX,PRG,993890
NCL,CDG,730515
SYZ,MHD,992729
BHD,EMA,359807
MXP,CUN,8785426
RUH,FCO,3673971
ALC,LGW,1430032
MAN,HAJ,809814
CAN,CKG,964623
TRN,CDG,573700
CPT,LHR,9646374
SOU,GLA,584549
BLR,AUH,2723694
MSQ,BCN,2379496
LCY,AGP,1686896
KMG,NKG,1723273
